NELL-995, music_artist_genre_NELL_BASE_simple_embedding_150
([('concept_musicartist_allman_brothers', 'concept:musicartistgenre', 'concept_musicgenre_southern_rock'), ('concept_musicgenre_southern_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_grunge')], 'concept_musicgenre_rock')
([('concept_musicartist_satyricon', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_guns_n__roses')], 'concept_musicgenre_metal')
([('concept_musicartist_abba', 'concept:musicartistgenre', 'concept_musicgenre_swedish_pop'), ('concept_musicgenre_swedish_pop', 'NO_OP', 'concept_musicgenre_swedish_pop'), ('concept_musicgenre_swedish_pop', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_pop')], 'concept_musicgenre_pop')
([('concept_musicartist_bob_dylan', 'concept:musicartistgenre', 'concept_musicgenre_american_folk'), ('concept_musicgenre_american_folk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_ozzy_osbourne')], 'concept_musicgenre_rock')
([('concept_musicartist_yes', 'concept:musicartistgenre', 'concept_musicgenre_prog_rock'), ('concept_musicgenre_prog_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_psychedelic_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_immortal', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_angra')], 'concept_musicgenre_metal')
([('concept_musicartist_green_day', 'concept:musicartistgenre', 'concept_musicgenre_american'), ('concept_musicgenre_american', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_classic_heavy_metal')], 'concept_musicgenre_rock')
([('concept_musicartist_soundgarden', 'concept:musicartistgenre', 'concept_musicgenre_grunge'), ('concept_musicgenre_grunge', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_inxs')], 'concept_musicgenre_rock')
([('concept_musicartist_the_clash', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', 'NO_OP', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_beach_boys', 'concept:musicartistgenre', 'concept_musicgenre_surf'), ('concept_musicgenre_surf', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_genesis')], 'concept_musicgenre_rock')
([('concept_musicartist_pearl_jam', 'concept:musicartistgenre', 'concept_musicgenre_grunge'), ('concept_musicgenre_grunge', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_seattle_grunge'), ('concept_musicgenre_seattle_grunge', '¬concept:musicartistgenre', 'concept_musicartist_pearl_jam')], 'concept_musicgenre_seattle_grunge')
([('concept_musicartist_cradle_of_filth', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_nu_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_death', 'concept:musicartistgenre', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'NO_OP', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_low', 'NO_OP', 'concept_musicartist_low'), ('concept_musicartist_low', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_fairport_convention', 'concept:musicartistgenre', 'concept_musicgenre_folk_rock'), ('concept_musicgenre_folk_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_folk'), ('concept_musicgenre_folk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_folk')
([('concept_musicartist_mayhem', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'NO_OP', 'concept_musicgenre_black_metal')], 'concept_musicgenre_black_metal')
([('concept_musicartist_darkthrone', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_jazz')], 'concept_musicgenre_metal')
([('concept_musicartist_alice_in_chains', 'concept:musicartistgenre', 'concept_musicgenre_grunge'), ('concept_musicgenre_grunge', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_ska_punk')], 'concept_musicgenre_rock')
([('concept_musicartist_black_sabbath', 'concept:musicartistgenre', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_famous_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_burzum', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'NO_OP', 'concept_musicgenre_black_metal')], 'concept_musicgenre_black_metal')
([('concept_musicartist_rush', 'concept:musicartistgenre', 'concept_musicgenre_prog'), ('concept_musicgenre_prog', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_canadian_rock'), ('concept_musicgenre_canadian_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_offspring', 'concept:musicartistgenre', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_punk')
([('concept_musicartist_disturbed', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_heavy_metal'), ('concept_musicgenre_heavy_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_rolling_stones', 'concept:musicartistgenre', 'concept_musicgenre_british_rock'), ('concept_musicgenre_british_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_eagles_of_death_metal')], 'concept_musicgenre_rock')
([('concept_musicartist_satyricon', 'NO_OP', 'concept_musicartist_satyricon'), ('concept_musicartist_satyricon', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_dissection', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'NO_OP', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_emperor', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_linkin_park')], 'concept_musicgenre_metal')
([('concept_musicartist_rancid', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_fleetwood_mac')], 'concept_musicgenre_rock')
([('concept_musicartist_discharge', 'concept:musicartistgenre', 'concept_musicgenre_hardcore'), ('concept_musicgenre_hardcore', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_horror_punk'), ('concept_musicgenre_horror_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_the_clash', '¬concept:musicianinmusicartist', 'concept_musician_joe_strummer'), ('concept_musician_joe_strummer', 'concept:musicianinmusicartist', 'concept_musicartist_clash'), ('concept_musicartist_clash', 'concept:musicartistgenre', 'concept_musicgenre_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_ac_dc', '¬concept:musicianinmusicartist', 'concept_musician_angus_young'), ('concept_musician_angus_young', 'concept:musicianinmusicartist', 'concept_musicartist_acdc'), ('concept_musicartist_acdc', 'concept:musicartistgenre', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_blind_guardian', 'concept:musicartistgenre', 'concept_musicgenre_power_metal'), ('concept_musicgenre_power_metal', 'NO_OP', 'concept_musicgenre_power_metal'), ('concept_musicgenre_power_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_hendrix', 'concept:musicartistgenre', 'concept_musicgenre_classic_rock'), ('concept_musicgenre_classic_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_classic_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_bathory', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_black_metal')
([('concept_musicartist_dimmu_borgir', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_deep_purple')], 'concept_musicgenre_metal')
([('concept_musicartist_immortal', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicartistgenre', 'concept_musicartist_deftones')], 'concept_musicgenre_metal')
([('concept_musicartist_devo', 'concept:musicartistgenre', 'concept_musicgenre_wave'), ('concept_musicgenre_wave', 'NO_OP', 'concept_musicgenre_wave'), ('concept_musicgenre_wave', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_emperor', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_black_metal')
([('concept_musicartist_watain', 'NO_OP', 'concept_musicartist_watain'), ('concept_musicartist_watain', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_sex_pistols', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_folk')], 'concept_musicgenre_rock')
([('concept_musicartist_killers', 'concept:musicartistgenre', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_american_folk')], 'concept_musicgenre_pop')
([('concept_musicartist_zz_top', 'concept:musicartistgenre', 'concept_musicgenre_blues'), ('concept_musicgenre_blues', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_keane')], 'concept_musicgenre_rock')
([('concept_musicartist_mayhem', 'NO_OP', 'concept_musicartist_mayhem'), ('concept_musicartist_mayhem', 'concept:musicartistgenre', 'concept_musicgenre_black_metal'), ('concept_musicgenre_black_metal', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_strokes', 'concept:musicartistgenre', 'concept_musicgenre_garage'), ('concept_musicgenre_garage', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_classic_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_sex_pistols', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_post_punk')], 'concept_musicgenre_rock')
([('concept_musicartist_aerosmith', 'concept:musicartistgenre', 'concept_musicgenre_classic_rock'), ('concept_musicgenre_classic_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_british_metal')], 'concept_musicgenre_rock')
([('concept_musicartist_dream_theater', 'concept:musicartistgenre', 'concept_musicgenre_prog'), ('concept_musicgenre_prog', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_canadian_rock'), ('concept_musicgenre_canadian_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_metal')
([('concept_musicartist_metallica', '¬concept:musicianinmusicartist', 'concept_musician_dave_mustaine'), ('concept_musician_dave_mustaine', 'concept:musicianinmusicartist', 'concept_musicartist_megadeth'), ('concept_musicartist_megadeth', 'concept:musicartistgenre', 'concept_musicgenre_thrash_metal')], 'concept_musicgenre_thrash_metal')
([('concept_musicartist_kiss', 'concept:musicartistgenre', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_low')], 'concept_musicgenre_rock')
([('concept_musicartist_husker_du', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk_rock')], 'concept_musicgenre_rock')
([('concept_musicartist_husker_du', 'concept:musicartistgenre', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', '¬concept:musicartistgenre', 'concept_musicartist_nirvana')], 'concept_musicgenre_rock')
([('concept_musicartist_jackson_five', 'concept:musicartistgenre', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_soul'), ('concept_musicgenre_soul', '¬concept:musicartistgenre', 'concept_musicartist_jackson_five')], 'concept_musicgenre_soul')
([('concept_musicartist_die_toten_hosen', 'concept:musicartistgenre', 'concept_musicgenre_german_punk'), ('concept_musicgenre_german_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_punk'), ('concept_musicgenre_punk', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_german_punk')], 'concept_musicgenre_punk')
([('concept_musicartist_green_day', 'concept:musicartistgenre', 'concept_musicgenre_pop_punk'), ('concept_musicgenre_pop_punk', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_pop'), ('concept_musicgenre_pop', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_classic_pop')], 'concept_musicgenre_pop')
([('concept_musicartist_modest_mouse', 'concept:musicartistgenre', 'concept_musicgenre_indie'), ('concept_musicgenre_indie', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock'), ('concept_musicgenre_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal')], 'concept_musicgenre_rock')
([('concept_musicartist_the_eagles', 'concept:musicartistgenre', 'concept_musicgenre_classic_rock'), ('concept_musicgenre_classic_rock', 'concept:musicgenressuchasmusicgenres', 'concept_musicgenre_metal'), ('concept_musicgenre_metal', '¬concept:musicgenressuchasmusicgenres', 'concept_musicgenre_rock')], 'concept_musicgenre_rock')
